backend,filename,knowledge_base,upload_time,file_size,file_id,topics,language,sentiment,chunk_count
PostgreSQL,04_03_17.pdf,金融,,0,,"貸款額, 還款记录, 利率",zh,neutral,63
PostgreSQL,04_03_17.pdf,信貸,,0,,"貸款額, 還款記錄, 利率, 貸款日期",zh-Hans,neutral,63
PostgreSQL,1698999347949 - Blog Post.txt,Entrepreneurship,,0,,"International Business, Event Management, Digital Marketing, Nutrition, Fitness, Swimming, Hong Kong, United Kingdom, Singapore",English,positive,2
PostgreSQL,1698999347949 - Timestamps.txt,Personal Development/Career Aspirations,,0,,"Introduction, Personality Traits, International Learning Experiences, Physical Activities and Skills, Hobbies (Cooking), Nutrition Importance, Goal Setting: Fitness Restaurant, Professional Experiences, Seeking Internship Opportunity, LinkedIn Professional Development",en,positive,1
PostgreSQL,1698999347949 - Title and Description.txt,Entrepreneurship,,0,,"International Business, Entrepreneurship, Nutrition, Fitness Industry",English,positive,1
PostgreSQL,20191003_131658_85339790906_85340200220_bulk-statement_20190701_to_20190930_A00000324_141814_International (1).pdf,Investment,,0,,"Restricted Share Units, Market Prices, Account Summary, Investment Performance",English,positive,11
PostgreSQL,20191003_131658_85339790906_85340200220_bulk-statement_20190701_to_20190930_A00000324_141814_International.pdf,Finance/Investments,,0,,"Financial Performance, Investment Details, Market Analysis",English,positive,11
PostgreSQL,2021-08-03_Statement.pdf,Personal Finance,,0,,"Account Activities, Deposits, Loans, Payments",English,neutral,12
PostgreSQL,2021-09-03_Statement.pdf,Financial Statement Analysis,,0,,"Account Holder Details, Bank Transactions, Fraud Prevention Messages, International Transfer Changes",English,neutral,4
PostgreSQL,2021-10-02_Statement (1).pdf,Financial Transactions,,0,,"Currency Movements, Foreign Transactions, Standing Instructions",en,neutral,7
PostgreSQL,2021-10-02_Statement.pdf,Financial Transactions,,0,,Account Activities,English,neutral,7
PostgreSQL,2021-11-03_Statement (1).pdf,bank statement,,0,,"account activities, balance, transactions",English,neutral,6
PostgreSQL,2021-11-03_Statement.pdf,Financial Transactions,,0,,"Account Activities, Deposits, Withdrawals, Fraud",English,negative,6
PostgreSQL,2021-11-04_Statement.pdf,Banking,,0,,"Personal Finances, Credit Cards, Loans, Investments",en,neutral,29
PostgreSQL,2021-12-03_Statement.pdf,Financial Statement,,0,,"Salary, Energy Bills, Credit Card Payments, Loan Repayments, Standing Instructions, Insurance Premiums",English,neutral,9
PostgreSQL,2022-01-03_Statement.pdf,Finance/Banking,,0,,"Account Management, Financial Transactions, Banking Services",English,neutral,10
PostgreSQL,2022-05-11_Statement.pdf,Financial Services,,0,,"Commercial Banking, Interest Rates, Overdrafts, FSCS Protection",English,positive,7
PostgreSQL,2022-08-12_Statement.pdf,Financial Services,,0,,"Account Information, Payment Methods, Customer Service",English,positive,46
PostgreSQL,2022-09-03_Statement.pdf,Personal Finance,,0,,"Account Activities, Financial Transactions, Loans",English,neutral,8
PostgreSQL,2022-09-13_Statement.pdf,banking/finance,,0,,"account numbers, credit limit, statement date, balance, transactions, fees and charges, minimum payment, customer service",english,neutral,52
PostgreSQL,2022-10-22_Statement.pdf,Financial Statement,,0,,"Account Balance, Credit Limit, Transaction History, Payment Methods, Customer Service",English,neutral,12
PostgreSQL,2025-06-16_Advice (1).pdf,banking,,0,,"fund transfer, credit advice, account details",en,positive,1
PostgreSQL,2025-06-16_Advice.pdf,Financial Transactions,,0,,"Fund Transfer Credit Advice, Payment Details",English,neutral,1
PostgreSQL,2025-07-03_Statement.pdf,Financial Transactions,,0,,"Deposits, Withdrawals, Balance",English,neutral,13
PostgreSQL,2025-07-10_Advice (1).pdf,banking,,0,,"fund transfer credit advice, customer service contact",English,neutral,1
PostgreSQL,2025-07-10_Advice.pdf,Financial Services,,0,,"Fund Transfer, Account Updates, Customer Service",English,neutral,1
PostgreSQL,209835320548 (1).pdf,帳單/收費通知,,0,,"戶費, 繳款, remainder, 收費總額, 人数, 每日平均用水量, 按金款额, 爭議金額, 分期付款金額, 付清金額, 付款限期",zh-tw,neutral,4
PostgreSQL,209835320548.pdf,帳單/收費,,0,,"收費通知, 繳款信息, 用戶編號, 每日平均用水量, 抄錶度數",zh,neutral,4
PostgreSQL,220865515290.pdf,General,,0,,General,English,neutral,4
PostgreSQL,22092020154827-0001.pdf,Unknown,,0,,Unknown,Unknown,Unknown,1
PostgreSQL,2261307872023.pdf,real_estate,,0,,"business_transaction, accounting_details, property",de,positive,1
PostgreSQL,24L9YGHU0T (1).txt,security,,0,,"security, product review, technical evaluation",en,neutral,4
PostgreSQL,24L9YGHU0T (2).txt,Unknown,,0,,Unknown,Unknown,neutral,4
PostgreSQL,24L9YGHU0T.txt,main category,,0,,"topic1, topic2, topic3",English,neutral,4
PostgreSQL,2-job-description-examples.docx,Job Descriptions,,0,,"Office Assistant/Typist, Warehouse Assistant",English,neutral,1
PostgreSQL,323 File Specification CFBC (w.e.f. 20201019).pdf,securities,,0,,"securities reference data, trading session status data, securities full order book data, securities market odd lot order data",english,neutral,57
PostgreSQL,323 File Specification CFBC (w.e.f. 20210531).pdf,securities market,,0,,"historical data, update history",en,neutral,67
PostgreSQL,661632093502 (1).pdf,房地产,,0,,"生活费用, 缴费记录, 用水情况",Chinese,neutral,4
PostgreSQL,661632093502.pdf,用户,,0,,"地址, 付款记录, 用水情况, 费用计算",zh-Hans,中性,4
PostgreSQL,819454726260 (1).pdf,Water/Utility Services in Hong Kong,,0,,"Water Consumption, Billing and Charges, Payment Terms",English,neutral,3
PostgreSQL,819454726260.pdf,Utilities,,0,,"Water Consumption, Billing Information, Payment Details",en,positive,3
PostgreSQL,9022006161738 (1).pdf,门票,,0,,"门票购买日期, 订单号, 购买日期",中文,neutral,60
PostgreSQL,9022006161738.pdf,entertainment,,0,,"tickets, purchases, reservation",zh_cn,neutral,60
PostgreSQL,â}âjâàâAâï.pdf,Video Player,,0,,"JavPlayer, Installation, Features, 2D Mode, 3D Mode, Environment Settings, File Browser, Range Setting, Keyboard Shortcuts, Capture Functionality, VR Mode",Japanese,neutral,28
PostgreSQL,Acces_Cinema-Vox_GB.pdf,Ski Passes and Access,,0,,"Mont-Blanc Ski Pass, Cinema Vox Access, Validity Periods, Usage Rules",fr,positive,1
PostgreSQL,Acces_Planards_MBM_GB.pdf,Promotions,,0,,"Promotion, Free ride offer, Conditions for free rides, MBM MultiPass, Validity period",fr,positive,1
PostgreSQL,ACTIVATION_CODE.txt,General,,0,,General,English,neutral,5
PostgreSQL,AddTrustExternalCARoot.txt,main category,,0,,Unknown,base64,neutral,3
PostgreSQL,ApplicationConfirmation.pdf,border control (关控),,0,,"申请流程, 处理日期和时间, 付款详细资料, 申请编号, 申请状态, 付款方式, 内地部门处理进度",Chinese,negative/ slightly negative,3
PostgreSQL,Application-Form-COVID19-Emergency-Assistance-Scheme.docx,Donation/Assistance Schemes,,0,,"Application Form, Financial Declaration, Support for Students, Submission Methods",English,positive,4
PostgreSQL,AppointmentConfirmation (1).pdf,vehicle registration,,0,,"appointment confirmation, file requirements, contact information, personal information",Chinese,neutral,3
PostgreSQL,AppointmentConfirmation (2).pdf,Vehicle Licensing,,0,,"Appointment Booking for Vehicle Licence Renewal, Transfer of Vehicle Ownership",English,positive,2
PostgreSQL,AppointmentConfirmation.pdf,政府/官方文档,,0,,"預約確認, 所需文件, 時間及地點",zh,中性,3
PostgreSQL,Atlassian_Quote_AT-224203620.pdf,Software Licensing & Support,,0,,"Payment Methods, Product Details, Support Information",English,positive,4
PostgreSQL,AUTHORS.txt,Software,,0,,"Software Development, Logo Design",en,neutral,1
PostgreSQL,b202412061.pdf,Legal,,0,,Legal Regulations on Critical Infrastructure,English,positive,236
PostgreSQL,Bmcpc Booking - Bookingview Booking.pdf,殡葬,,0,," bone灰存放,  预约流程,  预约编号,  QR码,  服务类型,  日期时间,  姓名,  联系电话,  邮箱地址,  先人信息, 墓地编号",zh-Hans,neutral,2
PostgreSQL,BookingReferenceNo_21July.pdf,交通/出行,,0,," vehicle reservation, 通行许可证, 预约安排",zh_cn,neutral,2
PostgreSQL,BookingReferenceNo.pdf,Transportation,,0,,"Vehicle Reservation, Closed Road Permits, Transportation in Hong Kong, Reservation System Conditions",en,neutral,2
